time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range
104704,1062,7.06537032,818,709.19,98,-0.010196208721026778,0.0054554935,0.03971874713897705,-0.7544778063893318,159.1798858642578,3268,0.001,0.029296875,527.4284499883652,0.2
104832,1062,7.06537032,819,709.19,98,-0.006858297565486282,0.014438255,0.9523190855979919,-0.7591555751860142,0.23667208850383759,3272,0.001,0.060546875,0.5822865460067987,0.2
104960,1062,7.06537032,820,709.19,98,0.0023500678362324834,0.010306115,0.6737641096115112,-0.777211882174015,1.235489845275879,3276,0.001,0.126953125,4.3895090371370316,0.2
105088,1063,7.5211423700000015,821,705.88,98,-0.004507856268901378,0.0009360877,-0.4171571731567383,-0.43259043619036674,27.73159408569336,3280,0.001,0.001953125,57.77715492248535,0.2
105216,1063,7.5211423700000015,822,705.88,98,-0.0010326984338462353,0.00059110625,-0.0966423749923706,-0.6876168772578239,237.38951110839844,3284,0.001,0.0,276.8280465602875,0.2
105344,1063,7.5211423700000015,823,705.88,99,-0.010913761099800467,0.023188919,0.9511462450027466,-0.8292141295969486,0.2115224152803421,3288,0.001,0.126953125,1.5604551825672388,0.2
105472,1064,8.80268682,824,700.04,99,0.0018943555187433958,0.0032729683,0.8530481457710266,-0.7477506399154663,2.7118113040924072,3292,0.001,0.013671875,6.985261529684067,0.2
105600,1065,7.568582689999999,825,693.0,99,-0.000406592502258718,0.0005599605,0.14086776971817017,-0.7523289360105991,125.89173126220703,3296,0.001,0.0,622.1312017440796,0.2
105728,1065,7.568582689999999,826,693.0,99,-0.0002634375123307109,0.00013259286,0.6231784820556641,-0.8150655515491962,232.73133850097656,3300,0.001,0.0,307.997465133667,0.2
105856,1066,7.568582689999999,827,693.0,99,-0.0010874987347051501,0.0006585503,-0.4739025831222534,-0.7815965861082077,2.558720588684082,3304,0.001,0.0,15.786740601062775,0.2
105984,1066,6.9264829,828,687.82,99,-0.009144347859546542,0.02068214,0.804951548576355,-0.8843678347766399,1.24094557762146,3308,0.001,0.146484375,1.946284793317318,0.2
106112,1066,6.9264829,829,687.82,99,0.002887632232159376,0.0016347296,0.4061051607131958,-0.8208068944513798,208.1118927001953,3312,0.001,0.0,456.93908500671387,0.2
106240,1067,6.9264829,830,687.82,99,-0.006841763330157846,0.014360679,0.9697749018669128,-0.8292906731367111,0.4378404915332794,3316,0.001,0.07421875,1.5113620199263096,0.2
