time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/loss,train/n_updates,train/approx_kl
1568,67584,-84.64450803,43,33,174.07,0.2,0.060498046875,-0.01033423887565732,203.52818756103517,0.6395642161369324,0.0002213568,-1.1840156942605973,91.68644714355469,320,0.010292599
1563,69632,-80.99361123000001,44,34,198.0,0.2,9.765625e-05,-0.0021433144109323623,180.0643226623535,0.5618095397949219,0.00021889919999999998,-1.1771591752767563,72.96829223632812,330,0.0011711158
1561,71680,-67.51976301,45,35,196.9,0.2,0.007275390625,-0.004581773071549833,341.22335624694824,0.6113935708999634,0.00021644159999999998,-1.1725909680128097,155.5392303466797,340,0.0026451247
1553,73728,-70.00179639,47,36,199.89,0.2,0.013623046875,-0.0056091840378940105,202.551598739624,0.6228923797607422,0.000213984,-1.096449464559555,84.22319030761719,350,0.005542373
1540,75776,-70.54266742,49,37,212.88,0.2,0.02587890625,-0.004976849321974441,316.0890922546387,0.4578859210014343,0.00021152639999999997,-1.100791934132576,167.59158325195312,360,0.005992557
1532,77824,-71.17597715,50,38,214.81,0.2,0.05869140625,-0.00840066144010052,197.6326988220215,0.6338660717010498,0.00020906879999999997,-1.1869267463684081,97.43863677978516,370,0.008156363
1525,79872,-70.87341593000001,52,39,226.2,0.2,0.042626953125,-0.008560353843495249,113.77623805999755,0.6835254430770874,0.00020661119999999998,-1.2473393499851226,48.811744689941406,380,0.0072787907
1519,81920,-58.671565030000004,53,40,257.93,0.2,0.047314453125,-0.006927345209987834,128.34941139221192,0.7005650997161865,0.00020415359999999998,-1.2282658070325851,56.335906982421875,390,0.008195107
1518,83968,-56.940024160000014,55,41,259.77,0.2,0.00732421875,-0.00502095123520121,143.43498039245605,0.6790742874145508,0.000201696,-1.1632539957761765,57.015357971191406,400,0.00341399
1517,86016,-50.48920549,56,42,260.81,0.2,0.015478515625,-0.003505080472677946,144.8424457550049,0.7486263513565063,0.0001992384,-1.172555646300316,69.32156372070312,410,0.0039486387
1514,88064,-46.025172559999994,58,43,269.11,0.2,0.0556640625,-0.0063955266843549905,122.55540676116944,0.7173009514808655,0.0001967808,-1.2261706382036208,60.31232452392578,420,0.0058386037
1507,90112,-41.300214340000004,59,44,296.77,0.2,0.096142578125,-0.008447939495090396,82.36165590286255,0.7945222854614258,0.00019432319999999998,-1.2325614422559739,31.223234176635742,430,0.010111588
1505,92160,-40.43408983999999,61,45,315.45,0.2,0.022412109375,-0.00696232384070754,123.43998432159424,0.7804996371269226,0.00019186559999999998,-1.1960500627756119,53.15248489379883,440,0.008332074
1504,94208,-37.40660991,62,46,314.9,0.2,0.005517578125,-0.0028580942424014212,111.00895519256592,0.7690349817276001,0.00018940799999999996,-1.1634013026952743,46.15153503417969,450,0.0034610773
1501,96256,-34.87693056999999,64,47,304.98,0.2,0.038134765625,-0.005036167294019833,102.89022884368896,0.738863468170166,0.00018695039999999996,-1.211178994178772,50.01187515258789,460,0.008598538
1497,98304,-20.62816221000001,65,48,339.09,0.2,0.060302734375,-0.005989231227431446,91.15820875167847,0.5792670249938965,0.00018449279999999997,-1.2140853613615037,46.94823455810547,470,0.007535468
1497,100352,-18.860607660000007,67,49,347.23,0.2,0.1087890625,-0.0069876250345259905,46.920588207244876,0.8490416407585144,0.00018203519999999997,-1.133176463842392,27.72038459777832,480,0.013338162
1497,102400,-18.289810690000007,68,50,357.06,0.2,0.00146484375,-0.003576663229614496,154.7353021621704,0.6492632627487183,0.00017957759999999998,-1.1175760358572007,90.80523681640625,490,0.0024126812
1495,104448,-19.931250520000003,69,51,360.31,0.2,0.05234375,-0.006271300918888301,52.46488361358642,0.8632171154022217,0.00017711999999999998,-1.1036636114120484,28.984142303466797,500,0.008587036
1491,106496,-17.85903213,71,52,389.31,0.2,0.01005859375,-0.004840888327453286,57.57538633346557,0.8094854950904846,0.0001746624,-1.0642049819231034,25.047592163085938,510,0.0039197714
1489,108544,-18.67557613,72,53,401.58,0.2,0.025341796875,-0.007086559617891908,48.35831913948059,0.7990477085113525,0.00017220480000000002,-1.0626220017671586,22.34884262084961,520,0.004416943
1487,110592,-17.47228258,74,54,410.38,0.2,0.03408203125,-0.005179467878770083,48.803772354125975,0.8025018572807312,0.00016974719999999997,-1.0608539670705794,23.420700073242188,530,0.008645088
1483,112640,-17.47228258,75,55,410.38,0.2,0.080078125,-0.010484970349352807,24.921669816970827,0.7697699666023254,0.00016728959999999998,-1.099880501627922,10.869279861450195,540,0.008252112
1478,114688,-9.24214194,77,56,435.95,0.2,0.062353515625,-0.008831710438244045,15.125391483306885,0.8428881168365479,0.00016483199999999996,-1.089351025223732,6.780285358428955,550,0.012505712
1477,116736,-6.345760829999997,79,57,450.57,0.2,0.072705078125,-0.006243738206103444,18.594956254959108,0.9465343952178955,0.00016237439999999996,-1.0093174770474433,7.392667293548584,560,0.010768503
1475,118784,-6.091051859999998,80,58,459.24,0.2,0.0328125,-0.005626393540296704,24.951388788223266,0.8077823519706726,0.00015991679999999997,-1.0305820107460022,11.038938522338867,570,0.0053538703
1470,120832,-4.653789849999998,82,59,468.3,0.2,0.035888671875,-0.005063780513592064,23.56192479133606,0.7683020830154419,0.0001574592,-0.9509462505578995,9.632786750793457,580,0.008729896
1465,122880,1.6601884400000007,83,60,511.09,0.2,0.075537109375,-0.00624700648477301,19.01838347911835,0.5682133436203003,0.0001550016,-0.9658258840441704,8.569546699523926,590,0.006636156
1464,124928,1.9025317799999997,85,61,519.45,0.2,0.058544921875,-0.008315804891753941,17.7615083694458,0.7719252705574036,0.000152544,-1.0622114777565002,9.169462203979492,600,0.006406642
1461,126976,2.6937777300000003,86,62,528.53,0.2,0.02431640625,-0.004602218163199723,17.50486147403717,0.7724469900131226,0.00015008640000000001,-1.0745345115661622,8.323921203613281,610,0.0044290987
1455,129024,2.7966780300000007,88,63,537.48,0.2,0.06533203125,-0.006819289398845285,15.312494015693664,0.7747308611869812,0.0001476288,-1.054548618197441,6.971412658691406,620,0.0066772685
1446,131072,6.77664317,90,64,580.27,0.2,0.0392578125,-0.003912397101521492,14.185863780975343,0.720025897026062,0.0001451712,-1.0305430382490157,5.389007568359375,630,0.0050284527
1445,133120,11.573263510000002,92,65,596.08,0.2,0.039404296875,-0.007790315500460565,9.513970994949341,0.906267523765564,0.0001427136,-0.9945142865180969,4.383723735809326,640,0.004540118
1443,135168,11.573263510000002,93,66,596.08,0.2,0.017724609375,-0.0037011974724009632,10.677870416641236,0.8587386608123779,0.000140256,-1.0231278240680695,4.870522975921631,650,0.003752713
